ds;y
2017-07-11;660.488.107
2017-07-10;1.290.204.193
2017-07-07;901.720.135
2017-07-06;749.257.298
2017-07-05;3.292.304.786
2017-07-04;689.092.810
2017-07-03;808.507.800
2017-06-30;14.692.141.852
2017-06-29;2.327.043.765
2017-06-28;1.319.169.307
2017-06-27;870.251.467
2017-06-26;1.045.040.547
2017-06-23;15.147.717.176
2017-06-22;1.870.126.775
2017-06-21;1.248.671.521
2017-06-20;16.948.051.594
2017-06-19;2.484.628.202
2017-06-16;1.146.088.295
2017-06-14;4.463.463.026
2017-06-13;911.617.898
2017-06-12;871.563.112
2017-06-09;1.140.448.203
2017-06-08;641.863.638
2017-06-07;1.158.523.540
2017-06-06;746.905.025
2017-06-05;9.979.694.247
2017-06-02;573.500.215
2017-06-01;545.886.595
2017-05-31;15.726.017.695
2017-05-30;2.180.093.538
2017-05-29;1.236.726.744
2017-05-26;803.825.727
2017-05-25;13.821.573.127
2017-05-24;3.230.220.352
2017-05-23;1.075.167.364
2017-05-22;4.656.013.955
2017-05-19;13.049.457.116
2017-05-18;1.661.925.025
2017-05-17;1.003.535.692
2017-05-16;730.662.456
2017-05-15;4.555.930.940
2017-05-12;762.525.854
2017-05-11;623.663.484
2017-05-10;1.609.271.063
2017-05-09;788.203.911
2017-05-08;739.533.720
2017-05-05;1.064.286.716
2017-05-04;2.313.878.113
2017-05-03;780.523.662
2017-05-02;938.132.177
2017-04-28;25.041.105.205
2017-04-27;7.334.390.414
2017-04-26;4.317.994.478
2017-04-25;16.153.874.911
2017-04-24;2.592.360.499
2017-04-20;18.368.030.416
2017-04-19;2.580.833.921
2017-04-18;1.267.708.657
2017-04-17;4.102.686.302
2017-04-13;3.320.613.423
2017-04-12;1.196.749.586
2017-04-11;716.136.727
2017-04-10;1.389.869.742
2017-04-07;911.882.647
2017-04-06;639.396.058
2017-04-05;3.548.570.346
2017-04-04;1.254.708.594
2017-04-03;1.091.533.993
2017-03-31;18.363.045.306
2017-03-30;2.067.880.344
2017-03-29;1.331.078.970
2017-03-28;836.755.036
2017-03-27;927.883.230
2017-03-24;12.891.730.555
2017-03-23;2.765.751.263
2017-03-22;987.737.862
2017-03-21;1.035.056.309
2017-03-20;16.492.817.681
2017-03-17;1.438.265.974
2017-03-16;878.058.538
2017-03-15;4.282.624.786
2017-03-14;2.069.950.006
2017-03-13;698.546.925
2017-03-10;1.146.750.770
2017-03-09;577.418.629
